Posição,MinMedMax,Ano,Posição,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
1,min,3,4,7,8,11,13,15,16,18,20,21,24,25,26,28,31,33,33,36,37,40,41,43,44,46,49,50,51,51,54,54,57,58,59,62,62,64,67
1,med,3.0,5.83,8.0,10.25,12.58,14.08,16.33,18.17,20.25,22.58,24.58,26.83,28.67,29.92,31.83,34.33,36.08,37.92,39.92,42.17,43.33,45.5,47.25,49.25,50.92,53.08,55.0,56.67,58.58,59.58,61.33,63.5,65.67,68.33,70.5,72.25,73.83,75.42
1,max,3,6,9,12,15,16,19,20,23,26,29,32,35,36,37,40,41,44,47,50,50,50,50,53,56,59,59,62,65,68,69,70,73,76,77,80,80,81
2,min,3,4,7,7,10,12,13,15,16,19,19,20,22,24,27,29,31,32,33,35,37,39,42,42,44,45,48,49,49,50,53,54,55,58,59,59,62,62
2,med,3.0,5.0,7.0,9.17,11.17,13.25,15.33,16.75,18.33,20.5,21.92,24.0,25.75,27.67,29.75,31.25,32.92,34.58,36.42,38.08,39.67,41.25,43.17,44.5,46.25,47.92,49.75,51.17,52.58,54.5,55.75,58.17,59.67,61.42,63.33,64.42,66.67,68.0
2,max,3,6,7,10,13,15,18,19,22,23,26,29,30,31,34,35,36,39,42,43,44,45,48,51,51,52,53,56,57,60,60,63,64,65,67,69,70,72
3,min,3,4,7,7,9,10,13,15,16,17,19,19,21,22,24,26,27,30,32,34,35,38,39,39,42,42,44,47,48,49,52,53,54,55,57,58,61,61
3,med,3.0,4.5,7.0,8.33,10.25,12.0,14.42,15.75,17.17,18.83,21.0,22.33,23.92,25.5,27.25,29.42,31.0,32.92,34.33,36.0,37.33,39.33,41.08,42.83,43.83,45.75,46.92,49.17,50.67,52.75,54.0,55.5,57.17,58.83,61.17,62.67,64.5,66.42
3,max,3,6,7,10,12,13,16,17,19,22,25,25,26,29,32,34,35,35,37,40,41,44,44,47,48,49,50,53,56,57,58,59,61,63,66,67,69,71
4,min,3,4,6,7,8,9,12,12,15,16,18,19,21,21,23,26,26,29,31,32,33,36,37,38,40,41,43,45,46,46,48,50,53,54,55,56,58,61
4,med,3.0,4.33,6.25,7.75,9.58,11.0,13.17,14.42,16.25,17.67,19.75,21.17,23.0,24.42,25.83,28.33,29.67,31.42,32.83,34.17,35.83,37.5,38.75,40.08,41.83,43.17,44.83,47.08,49.0,50.5,52.33,53.75,55.42,57.0,57.92,59.67,61.33,63.17
4,max,3,6,7,9,10,13,15,17,18,20,22,24,26,27,28,31,33,34,35,36,38,40,40,42,44,45,47,50,52,54,55,58,60,61,61,64,66,69
5,min,3,4,5,7,8,9,10,12,14,15,16,19,20,21,23,24,26,28,29,29,32,34,34,36,37,39,39,42,43,46,48,49,50,51,54,55,56,57
5,med,3.0,4.17,5.92,7.5,8.83,10.5,12.17,14.0,15.5,16.83,18.25,20.42,21.83,23.5,25.17,26.83,28.5,29.75,31.08,32.75,34.42,35.42,36.58,38.25,40.17,41.42,43.17,45.33,47.17,48.33,50.25,51.58,53.33,54.58,56.17,57.33,58.42,60.08
5,max,3,6,7,9,10,12,14,16,17,19,20,23,24,26,27,30,30,32,34,35,36,37,39,40,43,44,46,49,49,52,55,56,57,60,61,63,64,64
6,min,1,4,4,6,8,9,10,11,14,15,16,18,20,21,22,24,25,27,28,29,30,31,34,34,37,37,37,40,43,45,45,48,49,51,51,53,53,54
6,med,2.83,4.17,5.42,7.0,8.5,9.92,11.5,13.33,14.83,16.17,17.5,19.33,21.0,22.83,24.17,25.58,26.92,28.42,30.5,31.25,32.92,34.08,35.75,37.08,38.75,40.08,41.67,42.75,45.08,46.5,48.08,49.67,51.17,52.92,53.83,55.42,56.5,57.92
6,max,3,6,6,8,10,11,13,15,17,19,19,21,24,25,27,28,29,31,32,34,35,36,38,39,40,42,44,46,47,50,51,54,56,58,60,60,61,61
7,min,1,3,4,6,7,8,10,11,13,14,16,17,19,21,21,23,24,26,27,29,30,30,33,34,36,37,37,40,42,43,44,46,47,49,50,52,53,53
7,med,2.33,3.25,5.0,6.75,8.25,9.42,10.92,12.67,14.25,15.33,17.33,18.67,20.0,22.0,22.92,24.25,25.83,27.42,29.08,30.33,32.0,32.92,34.58,36.25,37.75,39.42,40.42,41.67,43.42,45.08,46.92,48.33,49.83,51.25,52.25,54.08,55.5,56.83
7,max,3,4,6,7,9,10,12,14,16,17,19,21,22,24,27,27,28,30,31,32,35,36,37,37,40,41,42,43,45,48,51,54,54,57,57,58,60,61
8,min,1,3,4,5,7,8,9,11,12,14,15,17,18,19,21,22,23,24,26,28,29,30,31,33,34,34,37,39,40,41,43,44,46,47,47,50,52,53
8,med,1.5,3.08,4.58,6.17,7.75,9.0,10.75,12.08,13.83,15.08,16.42,17.83,19.0,20.83,22.42,23.58,24.75,26.5,28.0,29.58,30.67,32.33,33.58,35.0,36.08,37.92,39.42,40.83,42.42,43.75,45.25,46.67,47.92,49.33,50.08,51.83,53.58,54.75
8,max,3,4,6,7,9,10,12,13,16,16,18,19,20,23,25,27,28,28,31,32,33,36,37,37,38,40,42,43,45,46,47,50,50,51,53,55,56,57
9,min,1,2,4,5,7,8,9,10,12,13,14,15,16,19,20,21,23,23,26,27,28,29,31,31,32,34,36,37,38,41,41,43,43,46,47,48,50,50
9,med,1.33,2.83,4.42,5.92,7.33,8.58,10.08,11.58,13.0,14.5,15.67,17.25,18.33,19.58,21.5,22.67,24.08,25.42,26.83,28.25,29.5,30.58,32.08,33.58,35.58,36.67,37.92,39.5,40.67,42.75,43.58,45.08,46.92,48.08,49.25,50.58,51.83,53.5
9,max,3,3,6,7,8,9,12,13,15,16,17,19,20,20,23,24,25,27,28,30,31,33,33,35,37,39,41,43,43,45,46,47,50,51,52,54,55,56
