ano,rodada,time_casa,time_fora,gcasa,gfora
2003,1,guarani_sp,vasco_rj,4,2,
2003,1,atletico_pr,gremio_rs,2,0,
2003,1,flamengo_rj,coritiba_pr,1,1,
2003,1,cruzeiro_mg,saocaetano_sp,2,2,
2003,1,juventude_rs,saopaulo_sp,2,2,
2003,1,vitoria_ba,figueirense_sc,1,1,
2003,1,inter_rs,pontepreta_sp,1,1,
2003,1,goiás_go,paysandu_pa,2,2,
2003,1,fortaleza_ce,bahia_ba,0,0,
2003,1,criciuma_sc,fluminense_rj,2,0,
2003,1,santos_sp,parana_pr,2,2,
2003,1,corinthians_sp,atletico_mg,0,3,
2003,2,atletico_mg,santos_sp,0,0,
2003,2,coritiba_pr,inter_rs,0,1,
2003,2,fluminense_rj,fortaleza_ce,1,1,
2003,2,gremio_rs,guarani_sp,3,1,
2003,2,bahia_ba,flamengo_rj,1,2,
2003,2,parana_pr,atletico_pr,3,0,
2003,2,paysandu_pa,vitoria_ba,1,2,
2003,2,pontepreta_sp,juventude_rs,1,0,
2003,2,saocaetano_sp,criciuma_sc,3,2,
2003,2,figueirense_sc,corinthians_sp,3,3,
2003,2,vasco_rj,goiás_go,6,4,
2003,2,saopaulo_sp,cruzeiro_mg,2,4,
2003,3,inter_rs,bahia_ba,2,0,
2003,3,atletico_pr,atletico_mg,1,2,
2003,3,santos_sp,figueirense_sc,2,0,
2003,3,corinthians_sp,paysandu_pa,6,1,
2003,3,goiás_go,gremio_rs,1,1,
2003,3,criciuma_sc,saopaulo_sp,1,1,
2003,3,fortaleza_ce,saocaetano_sp,1,1,
2003,3,juventude_rs,coritiba_pr,2,1,
2003,3,guarani_sp,parana_pr,2,0,
2003,3,vitoria_ba,vasco_rj,2,1,
2003,3,cruzeiro_mg,pontepreta_sp,3,0,
2003,3,flamengo_rj,fluminense_rj,4,1,
2003,4,pontepreta_sp,criciuma_sc,1,1,
2003,4,bahia_ba,juventude_rs,3,1,
2003,4,gremio_rs,vitoria_ba,2,1,
2003,4,atletico_mg,guarani_sp,3,2,
2003,4,figueirense_sc,atletico_pr,1,1,
2003,4,vasco_rj,corinthians_sp,2,2,
2003,4,coritiba_pr,cruzeiro_mg,3,4,
2003,4,saocaetano_sp,flamengo_rj,1,1,
2003,4,parana_pr,goiás_go,3,1,
2003,4,fluminense_rj,inter_rs,3,1,
2003,4,saopaulo_sp,fortaleza_ce,3,1,
2003,4,paysandu_pa,santos_sp,2,1,
2003,5,saocaetano_sp,gremio_rs,1,1,
2003,5,bahia_ba,atletico_mg,2,4,
2003,5,flamengo_rj,santos_sp,0,2,
2003,5,inter_rs,corinthians_sp,2,1,
2003,5,saopaulo_sp,vasco_rj,3,1,
2003,5,criciuma_sc,guarani_sp,1,0,
2003,5,fortaleza_ce,atletico_pr,1,0,
2003,5,juventude_rs,vitoria_ba,1,1,
2003,5,pontepreta_sp,paysandu_pa,4,4,
2003,5,fluminense_rj,parana_pr,0,0,
2003,5,cruzeiro_mg,goiás_go,4,1,
2003,5,coritiba_pr,figueirense_sc,1,0,
2003,6,parana_pr,bahia_ba,3,1,
2003,6,atletico_mg,coritiba_pr,1,2,
2003,6,vitoria_ba,inter_rs,0,3,
2003,6,guarani_sp,cruzeiro_mg,1,1,
2003,6,figueirense_sc,pontepreta_sp,0,0,
2003,6,corinthians_sp,flamengo_rj,1,1,
2003,6,goiás_go,juventude_rs,7,0,
2003,6,santos_sp,fortaleza_ce,4,0,
2003,6,atletico_pr,criciuma_sc,5,2,
2003,6,gremio_rs,fluminense_rj,0,1,
2003,6,paysandu_pa,saopaulo_sp,5,2,
2003,6,vasco_rj,saocaetano_sp,1,0,
2003,7,bahia_ba,gremio_rs,2,1,
2003,7,flamengo_rj,vitoria_ba,2,1,
2003,7,cruzeiro_mg,atletico_pr,5,2,
2003,7,saopaulo_sp,figueirense_sc,3,2,
2003,7,fortaleza_ce,corinthians_sp,1,2,
2003,7,coritiba_pr,parana_pr,2,1,
2003,7,inter_rs,goiás_go,2,1,
2003,7,pontepreta_sp,atletico_mg,2,1,
2003,7,juventude_rs,guarani_sp,1,1,
2003,7,saocaetano_sp,paysandu_pa,2,0,
2003,7,fluminense_rj,vasco_rj,0,0,
2003,7,criciuma_sc,santos_sp,1,3,
2003,8,goiás_go,flamengo_rj,1,1,
2003,8,santos_sp,cruzeiro_mg,0,2,
2003,8,parana_pr,pontepreta_sp,3,2,
2003,8,corinthians_sp,criciuma_sc,3,0,
2003,8,figueirense_sc,saocaetano_sp,3,0,
2003,8,vasco_rj,bahia_ba,1,1,
2003,8,atletico_mg,saopaulo_sp,2,2,
2003,8,vitoria_ba,fortaleza_ce,2,1,
2003,8,guarani_sp,inter_rs,3,0,
2003,8,atletico_pr,juventude_rs,2,0,
2003,8,paysandu_pa,fluminense_rj,2,2,
2003,8,gremio_rs,coritiba_pr,1,0,
2003,9,fluminense_rj,figueirense_sc,3,0,
2003,9,saocaetano_sp,atletico_mg,2,0,
2003,9,juventude_rs,santos_sp,1,1,
2003,9,coritiba_pr,vasco_rj,1,1,
2003,9,bahia_ba,paysandu_pa,2,0,
2003,9,inter_rs,atletico_pr,1,1,
2003,9,cruzeiro_mg,corinthians_sp,1,1,
2003,9,pontepreta_sp,gremio_rs,2,1,
2003,9,criciuma_sc,vitoria_ba,1,1,
2003,9,fortaleza_ce,goiás_go,1,0,
2003,9,flamengo_rj,guarani_sp,1,1,
2003,9,saopaulo_sp,parana_pr,2,0,
2003,10,parana_pr,saocaetano_sp,1,1,
2003,10,atletico_mg,fluminense_rj,3,0,
2003,10,corinthians_sp,juventude_rs,3,0,
2003,10,vasco_rj,pontepreta_sp,1,0,
2003,10,atletico_pr,flamengo_rj,4,1,
2003,10,figueirense_sc,bahia_ba,1,0,
2003,10,goiás_go,criciuma_sc,0,2,
2003,10,gremio_rs,saopaulo_sp,1,2,
2003,10,guarani_sp,fortaleza_ce,2,1,
2003,10,paysandu_pa,coritiba_pr,1,3,
